episode:60, score:5.00013376, epsilon:1.0, global step:8730, avg_qmax:0.0001796751075744396, memory:8730
episode:61, score:6.229838080000002, epsilon:1.0, global step:8865, avg_qmax:0.00027845831457482375, memory:8865
episode:62, score:53.848694399999985, epsilon:1.0, global step:9159, avg_qmax:0.0001571274134332679, memory:9159
episode:63, score:28.111733759999993, epsilon:1.0, global step:9327, avg_qmax:0.00017407577400349727, memory:9327
episode:64, score:5.40505664, epsilon:1.0, global step:9446, avg_qmax:0.0001812988364446112, memory:9446
episode:65, score:6.827265280000002, epsilon:1.0, global step:9600, avg_qmax:0.00024081161157707133, memory:9600
episode:66, score:7.871103360000001, epsilon:1.0, global step:9784, avg_qmax:0.00015369211807766354, memory:9784
episode:67, score:6.508637440000001, epsilon:1.0, global step:9954, avg_qmax:0.00019381783531036275, memory:9954
episode:68, score:6.80569152, epsilon:1.0, global step:10106, avg_qmax:0.00024370061834881534, memory:10106
episode:69, score:4.56533952, epsilon:1.0, global step:10209, avg_qmax:0.00018204291312746507, memory:10209
episode:70, score:5.80500096, epsilon:1.0, global step:10333, avg_qmax:0.00018590721245551146, memory:10333
episode:71, score:7.4213734400000035, epsilon:1.0, global step:10491, avg_qmax:0.00011157233035779035, memory:10491
episode:72, score:4.107312000000001, epsilon:1.0, global step:10587, avg_qmax:0.00019162263516629233, memory:10587
episode:73, score:8.096798080000003, epsilon:1.0, global step:10767, avg_qmax:0.00013532101088963423, memory:10767
episode:74, score:4.474065920000001, epsilon:1.0, global step:10870, avg_qmax:0.00024191277107446103, memory:10870
episode:75, score:5.660622719999999, epsilon:1.0, global step:11009, avg_qmax:0.00014250198505120717, memory:11009
episode:76, score:6.687865600000002, epsilon:1.0, global step:11158, avg_qmax:0.00018859687578629905, memory:11158
episode:77, score:6.827265280000001, epsilon:1.0, global step:11329, avg_qmax:0.00020335881315837703, memory:11329
episode:78, score:6.150181120000002, epsilon:1.0, global step:11456, avg_qmax:0.000170810155608935, memory:11456
episode:79, score:5.692153600000001, epsilon:1.0, global step:11586, avg_qmax:0.00011769253935479075, memory:11586
episode:80, score:5.469777920000002, epsilon:1.0, global step:11703, avg_qmax:0.00017135176003590366, memory:11703
episode:81, score:5.08476928, epsilon:1.0, global step:11813, avg_qmax:0.00021569896154522377, memory:11813
episode:82, score:27.81302016, epsilon:1.0, global step:11998, avg_qmax:0.00019414325551396532, memory:11998
episode:83, score:6.687865600000002, epsilon:1.0, global step:12140, avg_qmax:0.00019825124169509648, memory:12140
episode:84, score:29.76793471999999, epsilon:1.0, global step:12334, avg_qmax:0.00013469604579261884, memory:12334
episode:85, score:5.08476928, epsilon:1.0, global step:12445, avg_qmax:0.00017156692093841548, memory:12445
episode:86, score:3.9314028800000003, epsilon:1.0, global step:12550, avg_qmax:0.00023807913194538006, memory:12550
episode:87, score:8.563123200000005, epsilon:1.0, global step:12748, avg_qmax:0.00020018801210242582, memory:12748
episode:88, score:28.564782719999997, epsilon:1.0, global step:12925, avg_qmax:0.00018552316110686393, memory:12925
episode:89, score:7.116021760000001, epsilon:1.0, global step:13086, avg_qmax:0.0002927249372109292, memory:13086
episode:90, score:5.989207680000002, epsilon:1.0, global step:13217, avg_qmax:0.00017883527666422649, memory:13217
episode:91, score:5.54445632, epsilon:1.0, global step:13362, avg_qmax:0.00017984877547484035, memory:13362
episode:92, score:5.607518079999998, epsilon:1.0, global step:13494, avg_qmax:0.00015145553403051576, memory:13494
episode:93, score:52.209088639999976, epsilon:1.0, global step:13761, avg_qmax:0.0001611720141646105, memory:13761
episode:94, score:5.469777920000001, epsilon:1.0, global step:13873, avg_qmax:0.00014503995794257207, memory:13873
episode:95, score:6.077162240000002, epsilon:1.0, global step:14008, avg_qmax:0.00028253682475291565, memory:14008
episode:96, score:4.752865280000001, epsilon:1.0, global step:14114, avg_qmax:0.00021801028204654872, memory:14114
episode:97, score:7.054619520000002, epsilon:1.0, global step:14261, avg_qmax:0.0001914187662366209, memory:14261
episode:98, score:27.696853760000003, epsilon:1.0, global step:14428, avg_qmax:0.0002151407532568294, memory:14428
episode:99, score:8.07688384, epsilon:1.0, global step:14609, avg_qmax:0.00018149754548166085, memory:14609
episode:100, score:6.755905920000002, epsilon:1.0, global step:14753, avg_qmax:0.000109122928505043, memory:14753
episode:101, score:5.833212800000001, epsilon:1.0, global step:14892, avg_qmax:0.00019481975198968351, memory:14892
episode:102, score:4.63337984, epsilon:1.0, global step:15003, avg_qmax:0.0002606506647213324, memory:15003
episode:103, score:5.263997440000001, epsilon:1.0, global step:15117, avg_qmax:0.0001530335654311593, memory:15117
episode:104, score:6.16345728, epsilon:1.0, global step:15267, avg_qmax:0.0002646737035502156, memory:15267
